Title,Description,Company
Embedded Python in Test,"Ми 
Everstar
 Перше рекрутингове агентство що допомагає miltech компаніям знаходити талановитих людей та спільно наближати перемогу
Зараз ми у пошуках
Embedded Python in Test
для нашого клієнта  це один з найбільших розробників та виробників БпЛА для потреб оборони України
Компанія зібрала сильну команду інженерів конструкторів та спеціалістів з Hardware QA RF які створюють продукти що допомагають військовим досягати цілей Власні виробничі потужності дозволяють швидко впроваджувати зміни та ідеї
Основні задач
і
Розробка та підтримка автоматизованих систем тестування прошивання модулів на базі ARM мікроконтроллерів
Покращення існуючих рішень додавання функціоналу редагування та створення графічного інтерфейсу
Підтримка інфраструктури існуючих терміналів
Що шукаємо у кандидаті
Впевнені знання основ Python Досвід роботи з багатозадачністю бібліотеки threading multiprocessing subprocess
Досвід роботи з бібліотеками для роботи з периферійними пристроями pyserial pyusb
Досвід розробки GUI додатків tkinter pyqtpyside також релевантний досвід розробки GUI використовуючи інші мови програмування
Досвід з використання протоколів обміну UARTSPII2CSBUS
Базові знання електроніки Вміння читати схеми електричніпринципові
Знання Linux користування CLI
Ми пропонуємо
Офіційне працевлаштування через ДіяCity
Відпустка  18 робочих днів на рік  1 день відпустки на день народження
Можливість створювати нове експериментувати та вирішувати складні завдання
Професійне зростання та постійне вдосконалення навичок
Команда однодумців та інноваторів
Комфортний офіс на правому березі Києва",Everstar
Playtest Coordinator,"SnoopGame
is a leading game testing company that has been in the game development industry since 2015 We offer outsourcedoutsourced QA and Art services to companies worldwide From casual games to complex AAA projects our quality control team ensures that everything goes according to plan benefiting game developers publishers and players
SnoopGame consists of more than 120 employees and most of them are Manual QA We are constantly growing so our new testing direction Playtestday is gaining momentum and we are looking for a
Playtest Coordinator

Duties
 Management of a team of playtesters ensuring an effective game testing process
 Coordination and conduct of playtest sessions collection and analysis of feedback from players
 Working in a crossfunctional team
 Creating reports and maintaining databases with playtest results for key stakeholders
 Team member development promotion and recruiting
 Ensuring high quality and accuracy of data collected during playtestday
Requirements
 Experience in the gaming industry as a Playtest Lead Community Manager QA or similar role
 Deep understanding of the game development process and the role of playtest in it
 Excellent analytical skills and ability to interpret data
 Excellent communication skills to communicate with a large number of participants
 Attention to detail and ability to solve problems promptly and efficiently
 Knowledge of English at a level no lower than Intermediate
It will be a plus
 Team management experience
 Experience in social networks and forums
What we offer
 Paid vacation 20 working days
 Paid sick leave 10 working days
 Corporate English language courses
 Corporate activities classes with a psychologist etc
 Great team of game enthusiasts and a nice working atmosphere",SnoopGame QA
Math + Python Developer,"Joining Numerical Technologies is a unique chance that provides the opportunity to work alongside experienced professionals on impactful quantitative projects across North and South America Europe the Middle East Africa and South Asia This position is a chance to work handinhand with expert quantitative researchers and quantitative engineers to create and implement research and simulation tools that leverage existing automated trading software and sophisticated statistical techniques and technologies
Do you enjoy the process of problemsolving a process where you recognize areas of improvement and iterate and innovate to improve Does your curiosity and desire to learn drive you If this sounds like you dont miss this opportunity to gain valuable experience in a highly competitive and demanding fintech industry
What will you be doing
 Design engineer and implement softwarebased trading analytics
 Work closely with and provide solutions for quantitative researchers
What are we looking for
 Deep understanding of Applied Mathematics Probability Theory and Statistics Numerical Methods Linear Algebra Optimization
 Proficient in Python
 Bachelors Masters or PhD in Physics Mathematics Statistics or equivalent experience we also welcome students
 Excellent communication skills
 Willingness to learn together with a team of professionals
 Organized and detailoriented comfortable managing multiple work streams
 Intermediate and higher level of English
What additional skills will help you stand out
 Experience in Machine Learning
 Knowledge of Algorithms and Data Structures Interpolation methods Regression models Theory of Stochastic Processes Cryptography
 Commercial experience as a Python Developer
We offer
 Competitive compensation depending on experience and skills
 Regular assessments and salary reviews
 Paid personal days
 Health insurance
 EnglishPortuguesePolishSpanish classes
 Flexible working schedule
 Friendly team and enjoyable working environment
If you are comfortable with mathematical formulas and prepared to take a math test as part of the selection process we would be pleased to receive your CV",Numerical Technologies Ltd
Python Developer (Mentor),"Шукаємо крутих менторів Python для наших крутих студентів
Памятаєш себе на старті карєри Багатьом із нас не вистачало сильного ментора який підкаже спрямує обговорить з тобою різні підходи рішення тренди
Менторство  чудовий шанс здобути нові навички поглянути на старі задачі з іншої точки зору структурувати базові знання і звісно допомогти студентам
Що потрібно щоб стати ментором Python в нашій команді
Комерційний досвід у програмуванні від
3х
років
Впевнені знання Python 3 Django Django Rest Framework Flask SQLalchemy
Гарні знання та розуміння принципів веббезпеки
Впевнені знання БД PostgreSQL MySQL SQLite
Розуміння OOP шаблонів проектування алгоритмів та структури даних
Git Linux Docker
AWS буде плюсом
Базові знання HTML CSS Javascript
Бажання навчати і допомогати початківцям
Вміння пояснювати знаходити підхід до різних людей
Обовязки
перевірка завдань кодревю
відповіді на питання студентів
надання рекомендацій
Можливості які ти отримаєш
Спробуєш себе в якості ментора а mentorship навички важливі для ролі Leadа 1 до твого резюме і особистого бренду
Покращиш свої навички комунікації
Розшириш коло своїх знайомств
Сам краще розберешся у нюансах програмування у процесі навчання інших
Допоможеш студентам розпочати омріяну карєру
Додатковий дохід за приємну справу
Можливо зустрінеш ідеального колегу в свою команду
Ми пропонуємо
Віддалену роботу без відриву від основної при якій ти зможеш самостійно розподіляти своє навантаження і менторити стільки студентів скільки забажаєш
Оплату яка залежить від кількості студентів фіксована сума оплати за кожного студента",FoxmindEd
Senior Full Stack Python Engineer,"We are looking for a seasoned
Senior Full Stack Python Engineer
to join our dynamic team
The ideal candidate will leverage their extensive experience in Python and fullstack development to design implement and maintain our innovative software solutions This role requires a deep understanding of both frontend and backend technologies ensuring high performance and responsiveness of our applications
Responsibilities
Design and develop robust fullstack applications using Python and Angular
Implement backend components with FastAPI and WebSocket
Perform data manipulation and analysis using PandasNumpy libraries
Manage and optimize MongoDB databases including indexing strategies
Develop and maintain Docker containers and Docker Compose configurations
Design and implement CICD pipelines using Azure DevOps
Collaborate with crossfunctional teams to define design and ship new features
Ensure code quality organization and automation
Mentor junior developers and promote knowledge sharing
Stay updated with emerging technologies and apply them into operations and activities
Requirements
Minimum of five years professional IT experience with a focus on software development and project coordination
Extensive experience with Python development including FastAPI and WebSocket
Proficient in data analysis with PandasNumpy
Experience with Angular for frontend development
Strong understanding of MongoDB and performance optimization techniques
Proficient in Docker  Docker Compose for containerization
Experience with Azure DevOps and CICD pipelines
Excellent command of spoken English for effective communication in a global team
Ability to work collaboratively in a team environment
Strong problemsolving skills and attention to detail
Ability to handle multiple projects simultaneously
Proactive and selfmotivated with a strong work ethic
Strong organizational and time management skills
Excellent analytical and quantitative skills
Nice to have
Experience with Kubernetes
Background in data engineeringdata science
Familiarity with machine learning applications
We offer
Work on a flexible schedule remotely or from any of our comfortable offices or coworking spaces in Ukraine
Receive the necessary equipment to perform your work tasks
Change projects and technology stacks within EPAM
Gain experience in various business domains Insurance Ecommerce Healthcare Finance Travelling Media Artificial Intelligence and more
Consider relocation options in over 30 countries worldwide
Participate in volunteer charity programs and communities both technical and interestbased
You can plan your individual career path together with your manager
Receive regular feedback from colleagues
Improve your English for free with certified teachers Speaking Clubs client interview preparation courses etc
Get the opportunity to undergo free training and certification in AWS GCP or Azure Clouds
Use the internal Elearn training program 18200 specialized training and mentoring programs
Access corporate accounts on LinkedIn Learning Get Abstract and other partner resources
Study at EPAM Solution Architecture School with the instructors who are practicing architects
Develop as a leader join Delivery Management Resource Management Leadership Essentials school and more
Participate in internal communities 500 meetups technical discussions brainstorming sessions online events and conferences annually
Vacation and sick leave including a sick leave without a medical certificate
A wide range of Voluntary Medical Insurance programs providing both medical treatment and various preventive options including sports activities
Medical insurance for family members at corporate rates
Company support during significant life events childbirth or adoption marriage etc
Support for psychological comfort discounts on services from mental health specialists or coaches thematic training
Ekids program  a free programming language training program for EPAMers children
EPAM strives to provide its global team of over 52800 professionals in more than 55 countries with opportunities for professional growth from day one of collaboration Our colleagues are the source of EPAMs success so we value cooperation strive to always understand our clients business and aim for the highest quality standards No matter where you are you will join a dedicated diverse community that will help you realize your potential to the fullest",EPAM
Senior Data/Python Engineer,"Location Europe
About the Product
At
Turquoise
 were making healthcare pricing simpler more transparent and lower cost for everyone Weve already launched our consumerfacing website that allows anyone to search and compare hospital insurance rates  something never before possible Now were rolling out a suite of new products for providers payers and patients to clean up the healthcare transaction We want to change how the industry works from the inside out
Were a
Series Bstage startup
backed by top VCs More importantly were a multitalented group of folks moonlighting as authors bass players improv instructors chefs linguists and trivia buffs with a big passion for improving healthcare Were eager to find ambitious yet wellrounded teammates to join us on this mission
Our product is used by
hospitals health insurance companies and other companies that pay for healthcare in the US
Our immediate goal is
to continue building and improving our products
Responsibilities
Architect and create processing solutions for hundreds terrabytes of healthcare payments data  claims contract rates and demographics data to name a few
Extend and improve our data platform and data warehouse solutions  ingestion storage processing data optimization etc
Draft internal and external technical documentation
Fluidly meet the sporadic daily tasks of a small growing startup
Requirements
5 years of experience writing Python on a professional level
Proficiency in SQL  you know how to speed up a query analyze why it is slow etc
Experience working with big relational databases using plain SQL PostgresMysqlNoSQLetc
Experience with columnar databases
Experience in designing and implementing working distributed systems from scratch
Working with cloud Were working only with AWS
Nice to have
Proficient cloud experience
Experience working with PySpark is a plus
Columnar file types
Experience working with data lakes or warehouses RedshiftTrinoetc Airflow Boto3 and Terraform
Caching and index systems  Redis Elasticsearch
Benefits of the Job
Stock Option Plan
Annual Learning  Development Benefit 1200
Health and wellness package
Remote work",TurnKey Labs
Senior/Lead Python Engineer (#1892),"We are looking for a SeniorLead Python Developer for our company who can help us build adequate serverside applications The Candidate is responsible for contributing remarkably to the complete software development process You must train the recruits and other team members To make a product that holds the potential clients you should understand their needs clearly Ideally you must have insight into backend technologies and build highquality products to achieve the companys goals
Responsibilities 
Understand business needs and Implement functional requirements accordingly
Work independently and directly with stakeholders when needed
Help in designing the software
Build efficient backend features in Python
Integrate frontend and backend components into the application
Implement designs into code by collaborating with UXUI designers
Keep suggesting improvements and ways to enhance the functioning of the software
Be focused on quality
Requirements 
6 years of experience in Python
Good understanding of Amazon SES AWS Lambda Mongo DB GCP GBQ Cloudflare
Experience with Mobile projects
Experience with Azure DevOps is a plus
Excellent verbal and written skills in English
The ideal candidate is also
Pragmatic gets things done can find a creative compromise between an ideal technical solution and actual client needs
Understand the value of testing quality continuous integration source control and code reviews
Able to analyze plan and estimate requirements as well as identify risks involved and provide solutions to them
Good communication skills and excellent teamwork capabilities
Independent and selfmotivated with a cando attitude
Capable of executing under uncertainty in a dynamic environment
We offer
Flexible working format  remote officebased or flexible
A competitive salary and good compensation package
Personalized career growth
Professional development tools mentorship program tech talks and trainings centers of excellence and more
Active tech communities with regular knowledge sharing
Education reimbursement
Memorable anniversary presents
Corporate events and team buildings
Other locationspecific benefits",N-iX
Senior Python Automation QA Engineer,"We at
devspiration
are seeking a highly skilled
Senior Python Automation QA Engineer
to join our dynamic team The ideal candidate will be responsible for planning implementing executing and reporting on automated tests and results to ensure the quality and reliability of our software products
LOCATION
Lviv Ukraine onsite at a brandnew office in BC Natsionalnyy or remote working option
RESPONSIBILITIES
Develop and maintain automated test scripts using Python and related automation frameworks
Web UI and API automation
Assisting in implementation of automation Framework
Writing automation leveraging an automation framework
Understanding of and assist with CICD
Continuously improve test automation frameworks and tools to enhance test coverage efficiency and reliability
Participate in Agile development methodologies including sprint planning daily standups and sprint reviews
REQUIREMENTS
5 years of experience in software quality assurance and test automation
Proficiency in Python programming language and experience with automation frameworks such as Pytest Robot Framework or Selenium
Solid understanding of software testing methodologies principles and best practices
Experience with version control systems eg Git and continuous integrationcontinuous deployment CICD pipelines
Strong analytical and problemsolving skills with the ability to troubleshoot complex issues and drive solutions
Excellent communication and collaboration skills with the ability to work effectively in a team environment
English UpperIntermediate or higher
NICE TO HAVE
Experience with C is highly beneficial
Previous AI experience will play a key role
Preferable experience OpenAI AutoGen GTP4 understanding of AI Agent and tools
WE OFFER
A brandnew office in a BC Natsionalnyy  remote working options
18 business days of vacation 10 days of sick leave national holidays off
Compensation for technical conferencesevents participation
Free English classes
Medical insurance
Become part of a professional and patriotic team that works and supports the Armed Forces of Ukraine and people who need it Join in ",devspiration
Python Developer,"Project A platform that allows users to take loans backed by cryptocurrencies
Technology Stack
Backend
Python Django and Django Rest Framework DRF
Deployment Kubernetes on AWS
Integrations
Anchorage Digital a digital bank
An accounting product for bookkeeping will be taught by client
A KYC Know Your Customer product service
Frontend
Web frontend and a mobile app
Requirements
Strong Python skills specifically with Django and Django Rest Framework
Basic understanding of how blockchain works though not necessary to have prior blockchain development experience
Ability to learn and adapt to new technologies including blockchain and cryptocurrency concepts
English level  minimum B2
Additional Knowledge Preferred but not Required
Bookkeeping and accounting as the project involves integrating with an accounting service
Frontend development experience is beneficial but not mandatory
From when
August 2024
We offer
Work in a multinational team and great domain of new experience
This is a 100 remote job or onsight in our offices during CET office hours
Feel empowered with a friendly team opendoor policy informal atmosphere within the company and regular teambuilding events
The ability to focus on your work a lack of bureaucracy and micromanagement and convenient corporate services
A perfect environment for learning and selfdevelopment with allowance for educational material",White Label
Middle Python Database Developer Cloud,"Українська ITкомпанія Nova Digital що входить в групу компаній NOVA  це потужний виробник вебдодатків та програмного забезпечення для архітектур будьякої складності та навантаженості на них Ми створюємо обслуговуємо та постійно вдосконалюємо програмні продукти зручність яких вже оцінили 32 мільйони приватних та бізнесклієнтів Нової пошти Ми розширюємо нашу команду тому наразі ми у пошуку
Middle Database Developer Cloud
Чим ти займатимешся
Створення та оптимізація ETLворкфлоу проектування та оптимізація архітектури баз даних
Написання ETL процедур та підвищення ефективності наявних ETL процесів забезпечення безперебійного потоку великих масивів даних
Проектування та розробка звітів дашбордів та інформаційних активів відповідно до вимог замовників
Реалізація логіки розрахунків формування вітрин даних
Створення підписок звітів та аналітичних дашбордів підтримка та удосконалення існуючих активів
Співпраця з командами розробників аналітиків та бізнескористувачів для розробки та впровадження рішень на основі даних
Про тебе
Досвід роботи з Python 3 в якості розробника від 2 років знання бібліотек NumPy та Pandas написання чистих та читабельних скриптів
Впевнені знання SQL Написання на постійній основі functions store procedures triggers views calculations ctes recs
Робота з cloudbased Google BigQuery Amazon Redshift середовищами
Досвід роботи з високонавантаженими та надвеликими базами даних від 510тб
Вміння швидко розбиратися в коді без розуміння бізнес процесу
Рівень володіння англійської мови В1
Буде перевагою
Професійний досвід роботи з сучасними аналітичними СУБД бажано PostgreSQL в якості розробника
Знання чи інтерес до data engineering Big DataData Analytics TableauPower BI Google Cloud
Ми пропонуємо
Офіційне працевлаштування
Оплачувану відпустку та лікарняні
Медичне страхування
Необхідну техніку для роботи
Корпоративну культуру яка мотивує та заряджає позитивом
Роботу в соціально відповідальній компанії що слідкує за трендами цінує ідеї співробітників і розвивається разом з ним
Надсилай своє резюме будемо знайомитись ",Nova Digital
Middle Python Database Developer,"Українська ITкомпанія Nova Digital що входить в групу компаній NOVA  це потужний виробник вебдодатків та програмного забезпечення для архітектур будьякої складності та навантаженості на них Ми створюємо обслуговуємо та постійно вдосконалюємо програмні продукти зручність яких вже оцінили 32 мільйони приватних та бізнесклієнтів Нової пошти Ми розширюємо нашу команду тому наразі ми у пошуку
Middle Database Developer
Чим ти займатимешся
Розробка рішень на базі сховища даних PostgreSQL Підтримка та розвиток існуючих моделей даних створення нових
Проектування DWH Оптимізація та його підтримка Створення та оптимізація ETLворкфлоу проектування та оптимізація архітектури баз даних
Проектування та розробка звітів та дашбордів відповідно до вимог замовників Реалізація логіки розрахунків формування вітрин даних
Створення підписок звітів та аналітичних дашбордів підтримка та удосконалення існуючих активів
Співпраця з командами розробників аналітиків та бізнескористувачів для розробки та впровадження рішень на основі даних
Про тебе
Python 3 досвід роботи в якості розробника від 3 років знання бібліотек NumPy та Pandas написання чистих та читабельних скриптів
Досвід побудови ETL процесів Бажаний досвід проектування сховищ DWH
Створення та налаштування API методів для обміну даними
Впевнені знання SQL Написання на постійній основі functions store procedures triggers views calculations ctes recs Навички аналізу плану запитів
Досвід роботи з високонавантаженими та надвеликими базами даних від 510тб
Вміння швидко розбиратися в коді без розуміння бізнес процесу
Створення та налаштування API методів для обміну даними
Ведення проектів у Git робота з гілками та налаштування CICD
Рівень володіння англійської мови В1
Буде перевагою
Професійний досвід роботи з PostgreSQL DB engine SSAS в якості розробника
Навички адміністрування PostgreSQL Server
Досвід роботи з BI інструментами Power BITableauGoogle Looker
Досвід роботи в логістичних компаніях
Ми пропонуємо
Офіційне працевлаштування
Оплачувану відпустку
Медичне страхування
Необхідну техніку для роботи
Корпоративну культуру яка мотивує та заряджає позитивом
Роботу в соціально відповідальній компанії що слідкує за трендами цінує ідеї співробітників і розвивається разом з ним
Можливість безпосередньо впливати на створення продукту яким користуються мільйони користувачів
Можливість роботи віддалено або у сучасному офісі за бажанням
Надсилай своє резюме будемо знайомитись ",Nova Digital
Trainee/Junior Python Developer,"Newsoft is looking for a Trainee Python Developer with an understanding of JavaScript to join our team In addition to external projects we are actively engaged in the development of our internal systems We have created our own system that sets a new standard for interaction between employees and management ensuring clarity and understanding of all company processes This role includes the responsibility of enhancing the system with innovative solutions developing new features and providing support for existing ones
Requirements
6 months of software development experience commercial experience or own projects
Solid knowledge of Python
Understanding of RESTful APIs
Proficiency in at least one of the Python frameworks Django FastAPI Flask
Experience working with relational databases PostgreSQL MySQL
Experience of working with Git
Understanding of SOLID principles
Strong knowledge of HTMLCSS
Knowledge of TypeScript or JavaScript
Understanding of React experience will be an advantage
Upperintermediate level of English
NicetoHave Skills
Familiarity with Docker
Experience working with AWS or other cloud service providers
Interview stages
HR interview 30 minutes
Technical interview 1 hour
Job offer
We offer
 Competitive salary  bonuses
 Challenging tasks and projects
 Opportunities for professional development and growth
 Flexible working hours
 New hardware
 Free English lessons
 Availability of generators and Starlinks in the office
 Small gym and table tennis in the office
 Adjustable height tables
 Regular office fruit delivery and other benefits
Lets create value together",Newsoft
DATA Python developer/DevOps,"ПРО НАС
UKRSIBTECH  це амбітна ІТкоманда з близько 400 спеціалістів що драйвить технології UKRSIBBANK
Ми створюємо топовий банкінг для  2 000 000 клієнтів та прагнемо виводити фінансову сферу в Україні на новий рівень Нашими продуктами користуються юзери щоденного банкінгу лідери української економіки та великі міжнародні корпорації
Ми дякуємо нашим захисникам та захисницям які віддано боронять свободу та незалежність України та створюємо сприятливе середовище для роботи в банку
Майбутні задачі
обгортання сервісів АІ в APIфреймворки flask fastAPI etc
збирання і підтримка контейнерів Docker
адміністрування контейнерів Docker на платформі OpenShift
підтримка оновлення встановлення ПЗ etc ОС на платформі RD Ubuntu
формування заявок в системі АМС на мережеву взаємодію між системами банку та сервісами АІ
взаємодія з іншими підрозділами для обміну даними необхідними для функціонування сервісів АІ
У нас буде ідеальний match якщо ти
маєш
вищу Computer Scienceтехнічнуфінансову освіту
3 роки досвіду реалізації проектів з використанням Python і фреймворків flask fastAPI або аналогічних
досвід роботи з Docker Linux Ubuntu k8s або OpenShift від 1 року
знання англійської мови на рівні Intermediate
Буде плюсом
знання HTMX HTML No SQL
Окрім команди однодумців та цікавої роботи ти отримаєш
Стабільність
офіційне працевлаштування
медичне страхування та страхування життя повністю оплачене Банком
заробітну плату на рівні провідних ТОПроботодавців
25 днів щорічної відпустки додаткові дні відпустки на памятні події соціальні відпустки у відповідності до законодавства України
щорічні перегляди заробітної плати відповідно до власної ефективності та фінансових показників Банку
Розвиток своїх талантів заради карєри
навчання Школа лідера Сервіс дизайну Бізнес аналітики Data Digital Agile та програму розвитку талантів
IPlayers
та широкий набір мікротренінгів SQL BI EQ тощо
можливість брати участь у програмі внутрішньої та міжнародної мобільності до BNP Paribas Group
підтримку працівників постійно навчатись та професійно розвиватись Щороку наші працівники складають індивідуальний план розвитку разом з керівником чи ментором і впевнено рухаються до мети
Краще місце для роботи
програму WarLife balance як повернути життя в життя  це практичні воркшопи з фахівцями для підтримки емоційного стану
в рамках програми New Ways of Working дайджест з порадами від експертів щодо підтримки фізичного та ментального здоровя
рівні можливості різноманітність інклюзивність
залучення до проєктів сталого розвитку та корпоративносоціальної відповідальності
Якщо ти прагнеш досягти успіху у банкінгу та долучитися до спільноти що прагне мати позитивний вплив на суспільство ми раді тебе вітати у команді UKRSIBTECH",UKRSIBTECH
Senior Python Developer with AWS skills,"Project Description
Applying to the position you may join one of the most respected and fastest growing institutional investors in the world Our client is a professional investment management organization that globally invests the funds to ensure longterm sustainability The company invests in all major asset classes including public equity private equity real estate infrastructure and fixedincome instruments and currently has offices in Toronto London Hong Kong New York São Paulo Luxembourg and Mumbai
Client attracts and selects highcalibre individuals from toptier institutions around the globe Join our team and look forward to
 Diverse and inspiring colleagues and approachable leaders
 Stimulating work in a fastpaced intellectually challenging environment
 Accelerated exposure and responsibility
 Global career development opportunities
 Being motivated every day by important social purpose and unshakable principles
 A deeply rooted culture of Integrity Partnership and High Performance
If you share a passion for performance value a collegial and collaborative culture and approach everything with the highest integrity heres an opportunity
Responsibilities
 Manage timelinesdeliverables within the team towards the successful delivery of projects
 Design software solutions by interacting with portfolio managers traders operations staff and peers to understand requirements
 Develop solutions that are in line with clients technology biases deliver efficiency and scalability and enable new trading activities
 Provide knowledge transfer to team members and support staff through application demos walkthroughs and documentation
Mandatory Skills Description
 Experience in Python in an enterprise environment covering the whole development life cycle
 Must have good communication skills strong clientfacing skills and able to manage clients expectations
 Strong technical skills with AWS technologies such as Lambda SNS SQS S3
 Strong technical skills with Terraform
 Experience with productionlevel programming
NicetoHave Skills Description
 Strong technical skills in Java
 Capital Markets domain experience
Languages
English В2",Luxoft
Senior Python Engineer,"Altamira is a boutique IT company that delivers Digital and AI solutions to a wide range of international customers Headquartered in Bratislava Slovakia we work primarily in the financial pharma and retail sectors delivering mobile web and platform solutions using an expansive technology portfolio
We are proud of our teammates As a fully remote company we are building empowered selforganized teams that are focused on personal and professional growth and who share our customer obsession
Altamira service delivery teams currently span Slovakia Ukraine and the Middle East and we have ambitions to expand our footprint to meet the growing demand across Europe and into our primary growth markets in the UK and the US
Looking for a passionate detailoriented Python developer to join a productive and collaborative SaaS development team
Responsibilities for the role
Design develop and deploy highquality enterprise serverside code
Ensure the code follows best practices in all areas
Implement authorization and authentication
Collaborate with team lead and other developers
Take full ownership of tasks and projects managing your workflow effectively and independently
Proactively seek clarifications and updates as necessary
Accurately estimate the time required for tasks and communicate these estimations clearly to the team and team lead
Perform thorough testing on your code before deployment
Ensure all updates and fixes are successfully pushed to the production environment taking personal responsibility for the outcome
Take full responsibility for the quality and functionality of your work
Regularly update the team and the team lead on your work status
Minimum Qualifications
Experience with Python at least for 5 years
Strong knowledge of Python Coding and its datarelated libraries ex Pandas FastAPI
Knowledge of Application data and infrastructure architecture disciplines
Experience with Restful APIs Selenium Git bash scripting
Preferred Familiarity with Docker AWS ECS AWS Lambda functions
Fluent English
Direct experience with AWS Cognito
Proficient with the use of pytest
Experience in working with APIs and thirdparty integrations
Disciplined approach to testing and code quality
GitGithub and CICD experience
Knowledge AWS Services and Terraform a plus
Familiar with agile coding methodologies
 Willingness to work at least with 4h overlap with New Jersey TZ Location  EU
Our transparent recruitment journey usually takes up to 2 weeks and includes a few stages
Recruiting Interview 
3045
min
Technical Interview  115h
Client Interview optional  up to 1h
PreOffer Call  15min
Reference Check
Offer
We offer
Competitive salary room for development and growth
Possibility to work in the Bratislava and Kyiv office or fully remotely
Loyal management interesting tasks constant support
Medical insurance optional
English courses
Technical equipment providing
Paid vacations 20 workdays paid sick leave regular salary reviews
Flexible schedule and ability to manage your working hours
Support your personal growth and skills upgrading
The great environment inside the team support of initiatives and ability to contribute to the common goal
We do believe that the success of
altamiraai
is impossible without the success of our Talents and the success of our Clients",Altamira
Strong Middle Python Developer (freelance based),"Altamira is a boutique IT company that delivers Digital and AI solutions to a wide range of international customers Headquartered in Bratislava Slovakia we work primarily in the financial pharma and retail sectors delivering mobile web and platform solutions using an expansive technology portfolio
Altamira service delivery teams currently span Slovakia Ukraine and the Middle East and we have ambitions to expand our footprint to meet the growing demand across Europe and into our primary growth markets in the UK and the US
As a fully remote company we welcome talented individuals seeking hourlybased freelance opportunities
About the project
Join a forwardthinking company with a robust European presence specializing in commodity trading and innovative energy solutions Were embarking on a project to overhaul the global internal management system to meet growing business demands
Key components include
Data consolidation and processing
ETL implementation
Automated workflows and calculations
PowerBI reporting
Various permission levels
Youll collaborate with a team of 5 Engineers 2 MQAs a BA and a PM under the guidance of an Architect
Important Note For this role we are currently seeking candidates who are fluent in Ukrainian
About you
Experience with Python for a 3 years
Strong knowledge of Python Coding and its datarelated libraries ex Pandas FastAPI
Knowledge of Application data and infrastructure architecture disciplines
Experience with Restful APIs Selenium Git bash scripting
Preferred Familiarity with Docker AWS ECS and AWS Lambda functions
Ability to work with ETL and Data Lake
UpperIntermediate level of English
FluentNative in Ukrainian language
You will work with
Understand the use cases and requirements of the stakeholders and provide technical solutions
Write effective scalable Python code with proper unit tests error handling and logging
Test and debug programs and improve the functionality of existing systems
Provide estimates and communicate project plan to stakeholders
Continually look for process improvements and more efficient use of technology
Our transparent recruitment journey usually takes up to 2 weeks and includes a few stages
Recruiting Interview 
3045
min
Technical Interview  115h
Client Interview optional  up to 1h
Reference Check
Offer
If youre seeking a flexible welcoming and professional environment join our freelance projectbased team
We do believe that the success of
altamiraai
is impossible without the success of our Talents and the success of our Clients",Altamira
Senior Python Developer,"Altamira is a boutique IT company that delivers Digital and AI solutions to a wide range of international customers Headquartered in Bratislava Slovakia we work primarily in the financial pharma and retail sectors delivering mobile web and platform solutions using an expansive technology portfolio
Altamira service delivery teams currently span Slovakia Ukraine and the Middle East and we have ambitions to expand our footprint to meet the growing demand across Europe and into our primary growth markets in the UK and the US
As a fully remote company we welcome talented individuals seeking hourlybased freelance opportunities
About the project
Join a forwardthinking company with a robust European presence specializing in commodity trading and innovative energy solutions Were embarking on a project to overhaul the global internal management system to meet growing business demands
Key components include
Data consolidation and processing
ETL implementation
Automated workflows and calculations
PowerBI reporting
Various permission levels
Youll collaborate with a team of 5 Engineers 2 MQAs a BA and a PM under the guidance of an Architect
Important Note For this role we are currently seeking candidates who are fluent in Ukrainian
About you
Experience with Python for a 5 years
Strong knowledge of Python Coding and its datarelated libraries ex Pandas FastAPI
Knowledge of Application data and infrastructure architecture disciplines
Experience with Restful APIs Selenium Git bash scripting
Preferred Familiarity with Docker AWS ECS and AWS Lambda functions
Ability to work with ETL and Data Lake
UpperIntermediate level of English
FluentNative in Ukrainian language
You will work with
Understand the use cases and requirements of the stakeholders and provide technical solutions
Write effective scalable Python code with proper unit tests error handling and logging
Test and debug programs and improve the functionality of existing systems
Provide estimates and communicate project plan to stakeholders
Continually look for process improvements and more efficient use of technology
Our transparent recruitment journey usually takes up to 2 weeks and includes a few stages
Recruiting Interview 
3045
min
Technical Interview  115h
Client Interview optional  up to 1h
Reference Check
Offer
If youre seeking a flexible welcoming and professional environment join our freelance projectbased team
We do believe that the success of
altamiraai
is impossible without the success of our Talents and the success of our Clients",Altamira
